,index,forecast_sales,country,stockCode
0,2011-12-31,19.575001986651582,Austria,72741
1,2012-01-31,-4.260841835890261e-05,Austria,72741
2,2012-02-29,3.372354350617002e-05,Austria,72741
3,2012-03-31,-1.735448863726674e-05,Austria,72741
4,2012-04-30,1.5114194038545747e-05,Austria,72741
5,2012-05-31,-1.945960531557489e-05,Austria,72741
0,2011-12-31,32.47465548068671,Belgium,20685
1,2012-01-31,17.18897072649763,Belgium,20685
2,2012-02-29,46.35454653538855,Belgium,20685
3,2012-03-31,23.96907929083565,Belgium,20685
4,2012-04-30,15.433602434966783,Belgium,20685
5,2012-05-31,14.848274903705063,Belgium,20685
0,2012-01-31,23.882104290351815,Belgium,20750
1,2012-02-29,38.14326411495654,Belgium,20750
2,2012-03-31,0.007357718311531869,Belgium,20750
3,2012-04-30,15.892572762170092,Belgium,20750
4,2012-05-31,0.006701618320374081,Belgium,20750
5,2012-06-30,85.80154573368725,Belgium,20750
0,2011-12-31,16.397286198493646,Belgium,21844
1,2012-01-31,7.547305797309675,Belgium,21844
2,2012-02-29,7.5473036860377505,Belgium,21844
3,2012-03-31,7.547323354490857,Belgium,21844
4,2012-04-30,7.547352293712598,Belgium,21844
5,2012-05-31,7.547346730178327,Belgium,21844
0,2011-12-31,22.49999571292128,Belgium,22071
1,2012-01-31,11.250024198910513,Belgium,22071
2,2012-02-29,11.249993896737498,Belgium,22071
3,2012-03-31,11.249993111638434,Belgium,22071
4,2012-04-30,11.249972513513086,Belgium,22071
5,2012-05-31,11.249954275847688,Belgium,22071
0,2012-01-31,9.75024398769505,Belgium,85099B
1,2012-02-29,9.749979558205485,Belgium,85099B
2,2012-03-31,19.4999573931307,Belgium,85099B
3,2012-04-30,19.49960712070888,Belgium,85099B
4,2012-05-31,-0.00040315940165669417,Belgium,85099B
5,2012-06-30,29.89961654456335,Belgium,85099B
0,2011-12-31,28.198996251461374,Channel Islands,20685
1,2012-01-31,0.00041852053549717994,Channel Islands,20685
2,2012-02-29,0.0015882764148305029,Channel Islands,20685
3,2012-03-31,31.799909844394293,Channel Islands,20685
4,2012-04-30,-0.00019199437399386454,Channel Islands,20685
5,2012-05-31,7.490296280233239,Channel Islands,20685
0,2011-12-31,6.600010867950206,Channel Islands,21212
1,2012-01-31,9.2930413853054e-06,Channel Islands,21212
2,2012-02-29,9.410414959276636e-06,Channel Islands,21212
3,2012-03-31,13.200009737600762,Channel Islands,21212
4,2012-04-30,6.6000120603835555,Channel Islands,21212
5,2012-05-31,6.600012503483076,Channel Islands,21212
0,2012-01-31,0.00010087368949029951,Channel Islands,21621
1,2012-02-29,-0.00015719266865765746,Channel Islands,21621
2,2012-03-31,-0.0007743013317504932,Channel Islands,21621
3,2012-04-30,-0.00029486096028108477,Channel Islands,21621
4,2012-05-31,25.496484330259314,Channel Islands,21621
5,2012-06-30,51.00101411693106,Channel Islands,21621
0,2011-12-31,32.44981765826015,Cyprus,21733
